description,country,variety
"This field blend is produced from old vines. It is rich and smooth with touches with spicy wood. The wood is showing strongly, perhaps not leaving enough room for fruit, however, that could improve as the wine ages more. Wait until 2017.",Portugal,Portuguese White
"Petit Verdot is known for its color, and this wine is dark purple, almost black. The tannins are also pretty prominent, although they are balanced by a freshness from black currant fruits and a fine, mineral structure. There is a touch of pepper and spice at the end. Drink from 2018.",Portugal,Petit Verdot
"This is a firm and serious wine, with dark tannins behind the rich black fruit tones. The solid structure is likely to smooth out with time to give a ripe and juicy wine. Drink from 2015.",Portugal,Portuguese Red
"This is a ripe, soft and juicy wine that is ready to drink. Warm blackberry tones are contrasted by a rich wood character and fresh, lively acidity.",Portugal,Portuguese Red
"Fermented in open stone lagars, this wine shows a smooth, rounded and very rich character. Sweet wood flavors suggest vanilla, while the tannins are fine, dense and attractively spicy. The aftertaste, with juicy black fruits, adds balance to the wine. Drink now.",Portugal,Portuguese Red
"A lively, crisp wine that boasts intense pineapple and citrus fruits. From high-elevation Douro vineyards, it is light and refreshing, with great swathes of acidity.",Portugal,Portuguese Sparkling
"With its flamboyant aromas of oranges, tangerines and apricots, this screams “Muscat” at the top of its lungs. The plump flavors of tropical and citrus fruits make it easy to like and easy to drink. Great as an apéritif.",Portugal,Muscat
"Lightly wood aged, this is a rich wine that has tropical fruits as well as toast and pepper from the alcohol. Unfortunately, there's a streak of citrus that sits awkwardly with the rest of the wine. Drink now.",Portugal,Portuguese White
"This wine has a strange juicy character, reminiscent of tomato juice. The tannins under the odd fruitiness are firm, with a bitter edge.",Portugal,Portuguese Red
"The Arinto grape and the town of Bucelas go together. This small enclave in the larger Lisboa region produces this crisp fruity style, like a southern version of dry Vinho Verde but with extra weight. Drink this attractive, lemon and red-apple flavored wine now.",Portugal,Arinto
"A big, bold, black vintage Port, already enticingly perfumed, packed with as much rich fruit as tannin. It's in the sweet vintage Port arena, an immediately attractive wine, yet layered with enough structure to keep it maturing for many years. The final sense is all richness.",Portugal,Port
"Named on whim after a peacock's feathers and hence a fan, this attractive wine is full of bright fruit and the proper stony mineral structure typical of the Dão. The wood aging has given the wine extra richness without losing the fruit. Drink this finely wrought wine from 2019.",Portugal,Portuguese Red
"This is a limited quantity release from the Kopke's stock of aged Ports. At 40 years, the wine has become concentrated, intense and almost unbearable in its acidity and spirit. It's a great bottling although much less drinkable than other aged White Ports in their range.",Portugal,Port
This organic vineyard in the northern reaches of Tejo regularly produces concentrated wines like this. It's richly endowed with fine tannins and black fruit but also has the sort of structure that will allow it to age well. Drink from 2019.,Portugal,Portuguese Red
"This is a finely made wine, fresh and crisp. It is dry but with a soft texture that turns it into a wine that's both good with food and as an apéritif. The aftertaste is crisp and still fruity.",Portugal,Rosé
"This is a young wood-aged wine with rich toast. While the toast does smother the fruit at the moment, there are enough crisp acidity and citrus flavors in the background to come through as the wine matures for another year or two. Drink from 2018.",Portugal,Antão Vaz
"This is more of a chunky, rich tawny; the mouthfeel comes across more syrupy than svelte. But with a ton of hazelnut/walnut character and plenty of bitter coffee nuances on the finish, it comes home nicely.",Portugal,Port
"A sweet, soft, clean wine, anonymous almost. Yes, there is freshness, lightness, but all the time the awkward, unbalancing sweetness pulls it down. Drink very chilled.",Portugal,Portuguese White
"Named after the kingfisher bird, this wine has a warm, yellow-fruit and ripe character. It is perfumed, with a full texture and the richness that comes from aging on the lees. Drink this ripe wine now.",Portugal,Portuguese White
"Smooth, creamy and lightly perfumed, this wine is packed with apple, pear and yellow fruit flavors that are topped with acidity. Well balanced, it is ready to drink.",Portugal,Portuguese White
"Produced from 100% Touriga Nacional, this is a crisp, dry wine, full of red-currant fruits and with a tang of citrus. This attractive wine is ready to drink.",Portugal,Rosé
This simple wine is all about crisp citrus and apple fruits that keep it bright and lively. It offers a tight texture and good fruitiness at the end. Drink now.,Portugal,Portuguese White
"This soft, spicy wine has easy fruitiness. Black currants are balanced with acidity and a bright aftertaste. This great-value wine is ready to drink.",Portugal,Portuguese Red
"Part of a range of single-varietal wines from this producer, this bottling features richly structured and perfumed Touriga Nacional. A firm core gives a minty edge to the blackberry fruits. Drink from 2018.",Portugal,Touriga Nacional
"A fruity blend of Fernão Pires and Arinto, the two most familiar white grapes of the region, this wine is soft and creamy. The acidity and the green fruits are already refreshing. Drink now.",Portugal,Portuguese White
"A spicy, ripe wine that is part of the second line from Quinta de la Rosa. With its rich tannins, fine layers of acidity and sweet berry fruit, it is already drinkable. Give it 2–3 years and it will develop beyond its just fruity stage.",Portugal,Portuguese Red
"Initially rustic, this is likely to develop into a dry, firmly tannic wine. The acidity and red berry notes come together in balance, but it does need serious aging to develop fully. Drink from 2018.",Portugal,Portuguese Red
"Bright and fresh, a great mouthful of lemongrass spices, lime and tight, young flavors of grapefruit. The acidity suffuses the wine, lifting it, giving the fruit a vivid character. There is a clean, mineral aftertaste.",Portugal,Alvarinho
"From vines in the upper Douro valley, this is an intense wine that's still young. Its smooth, ripe black cherry fruits are followed by blueberry, spice from wood and bitter chocolate. This is a complex wine that finishes fresh.",Portugal,Portuguese Red
"A Portuguese classic, this fresh and fruity wine comes from a small zone in the heart of the Lisboa region. It is citrus flavored with delicious lime and pear flavors, fine acidity and a bright, zesty aftertaste. Drink now.",Portugal,Arinto
"An attractive, fruity wine, very pure in character, with some minerality along with dry tannins. The wine does keep a little sweetness, but remains on the dry side.",Portugal,Port
"Concentrated tannins and rich black plum and currant flavors distinguish this serious, dense wine. It has structure and dry tannins resulting from both the old vine fruit and the barrel aging. This is a wine that deserves some good aging. Drink from 2020.",Portugal,Portuguese Red
"This is one of a series of limited-production single-variety wines from this large Alentejo estate. Ripe spice and bold juicy flavors, both the hallmark of Alicante Bouschet, give this wine its richness and concentration. It is generous, opulent and just ready to drink.",Portugal,Alicante Bouschet
"A richly spicy wine, showing its wood aging in the mint flavors as well as toast. Despite a dodgy harvest year, the wine has the dense, ripely fruity character that comes from winemakers João Menezes and Francisco Montenegro's use of foot treading and fermentation in open stone lagars and that gives great black fruits and soft tannins. This is a wine that is powerful and concentrated, ready to age for a few more years. Drink from 2020.",Portugal,Portuguese Red
The bottle is stupidly heavy but there is a nice cool feel to the taste. It's to do with the vineyard's proximity to the ocean which brings out acidity to balance the delicious ripe pear and sweet melon fruit. It is ripe and lightly toasty. The aftertaste adds a mineral texture to the complex mix. Drink now.,Portugal,Arinto
"The two grapes in this blend create a finely structured wine full of tannins that give shape and density to its young fruit. Blackberry flavors dominate—they are cut with acidity and filled out with dense tannins. The wine needs to age further, so drink from 2017.",Portugal,Portuguese Red
"Although no longer widely planted, Tinta Francisca is often found in old vineyards. It doesn't have the power of some Douro reds, but it does have the concentration and a fine balance of fruits, tannins and acidity. There is a freshness that brings a bright edge to this fruity wine. A bonus: It is ready to drink.",Portugal,Tinta Francisca
"Not many Douro whites get the heavy bottle treatment like this fine wood-aged wine. It is a half-and-half blend of Gouveio and Viosinho, ripe and with layers of toast and intense yellow fruits as well as citrus acidity. It is just ready to drink although it will be better from 2017.",Portugal,Portuguese White
"Reliant on perfumed Touriga Nacional, this single estate wine is generous, ripe and full of black fruits. Richly tannic and structured, it has a serious side, firm and with good potential. Drink from 2018.",Portugal,Portuguese Red
"The meaty, yeasty character here doesn't chime well with the ripe, soft fruit. It is sweet with a full, toffee flavor and only light acidity.",Portugal,Port
"Crisp raspberry flavors along with candied sweetness give this fruity Port a soft and gentle character. It is certainly sweet, even sugary, while retaining good balance. Pink and rosé Port is usually served chilled and in cocktails. Founded in 1862 and historically known as C. da Silva, this producer is now Dalva.",Portugal,Port
"Sweet and fruity, this rich wine hangs heavily. It has candied flavors without enough acidity to balance. The aftertaste is rich and full, easily in search for a cocktail. Drink now.",Portugal,Port
"This crisp, lightly sparkling, off-dry Vinho Verde offers attractive acidity and bright citrus flavors, with hints of apple and green plum. Light and fresh, it's ready to drink now.",Portugal,Portuguese White
"This soft, caramel flavored rosé is produced from the native Castelão grape in coastal Setúbal south of Lisbon. With rounded red fruits and light acidity, it is dry and destined to pair with food.",Portugal,Rosé
A beetroot character to this wine is off-putting. It masks the fruit and acidity that otherwise would show well.,Portugal,Port
"From old vines in selected vineyards, this wine is richly endowed with dense black fruits and dusty tannins. Full bodied and intense with a ripe, jammy character, its fruit concentration is bolstered by wood aging. Drink from 2018.",Portugal,Portuguese Red
"This firmly tannic, serious wine has great potential for aging. It shows the structure and acidity typical of the Baga grape, while also bringing out red berry fruit that will be delicious as it develops in the bottle. Drink from 2019.",Portugal,Baga
"The wine is all fruit, so fresh and crisp and light. Sliced apples and sharp lime juice are swirled around with so much acidity that the wine just dances in the glass. This is delicious and ready to drink.",Portugal,Alvarinho
"The wine is fresh, aromatic and so crisp. Made from Fernão Pires and Verdelho, it is ripe with apple flavors and tangy with orange zest. The wine is young, fruity and ready to drink.",Portugal,Portuguese White
"The heavy bottle is probably a good proportion of the price of this wine—an unnecessary affectation. The wine itself is firm and structured, perfumed with typical Touriga Nacional violet aromas and rich. With its dense texture and juicy black plum fruits, it is still coming together, so don't drink before 2017.",Portugal,Touriga Nacional
"This is a fresh wine that is balanced between solid tannins and the ripe red berry fruits. Made to be drunk young, it has juicy acidity along with a firm mineral texture. Pure fruitiness shines at the end. Drink from late 2016.",Portugal,Portuguese Red
"Firm and tannic, this powerful wine is solid, foursquare and dense in structure. There is plenty of fruit as well, with the typical juiciness of Alicante Bouschet to give a ripe fruity character under the tannic structure. Drink this concentrated wine from 2017.",Portugal,Portuguese Red
"This is a smoothly textured wine, full of berry fruits that are rich enough to cope with the acidity. The tannins come through slowly, balanced by plenty of acidity as well as lively fruit tones at the end. This is full of life and ready to drink.",Portugal,Port
"This wine is dry and firm, showing developing fruit under dark tannins. Big plum and berry flavors are ripe, juicy and fresh on the finish. Drink from 2019.",Portugal,Port
"This is a beautifully perfumed wine, with just the right dense texture of tannins and depth. A balance of fruit, tannins and acidity make this quite attractive. Drink now for immediate pleasure or wait until 2017 for a more mature character.",Portugal,Port
"Richly golden in color, this Moscatel is grown on the plateau high above the Douro Valley. Long wood aging has masked much of the typical varietal character, yet yields a rich wine that has concentrated over the years and is now ready to be enjoyed.",Portugal,Moscatel
"This big and rich wine is succulent and generous. Firm tannins show strongly through the ripe juicy black currant fruits. Full of the strong minerality typical of the Douro, this wine and its dry core still needs time to age. Drink from 2018.",Portugal,Portuguese Red
"From a top vintage year, this LBV has a fine richness and dry core to its blackberry-jelly and spice flavors. Despite being softened by wood aging, it could withstand a few more years in bottle.",Portugal,Port
"Its Grand Escolha (equivalent to a Reserve wine) label explains why this is a young, reticent and closed wine. With its firm fruits and tight tannins, it needs several years of aging to reveal what will always be a serious wine.",Portugal,Cabernet Sauvignon
"A blend of Gouveio and Verdelho, this is a spicy, perfumed wine that has fine, lively acidity to go with its honey, lemon and pear flavors. To drink now, although the mineral edge suggests aging potential.",Portugal,Portuguese White
"One of the historic Portuguese branded wines, Serradayres continues to offer well-balanced fruit, attractive acidity and tannins that fit well into the overall ripe character of a wine that is ready to drink.",Portugal,Portuguese Red
"It's unclear why this wine's bottle has to be so heavy. After all, the wine inside is ripe, fruity and very ready to drink, certainly not for aging. Black fruits have matured into a leather texture and smoky flavors. The wine is ripe and full in the mouth with just a touch of pepper at the end from alcohol. Drink now.",Portugal,Portuguese Red
"The wine is tannic and structured, with a dry character that masks the juicy black currant fruits that are there at the back. It shows its wood aging in spice and toast. The wine is ready to drink, although it will always be tannic.",Portugal,Portuguese Red
This blend of Rabigato and Códega do Larinho grapes brings out the crisp acidity of a Douro white. The wine has a fragrant character with hedgerow fruits and white flower aromas. The aftertaste goes more towards yellow fruits while keeping all the freshness.,Portugal,Portuguese White
"More commonly found in the Dão region, the Alfrocheiro is sometimes called the Pinot Noir of Portugal for its smooth, red cherry flavors and sometimes earthy character. Those attributes are found in this cherry-flavored wine with its bright acidity and fruitiness. The whole effect is spoiled by a green edge that shows tight tannins at the end.",Portugal,Alfrocheiro
"This is a structured wine, probably because of the Touriga Nacional in the blend. That also gives a perfumed edge to this ripe, full wine with its juicy red fruit acidity. It is fruity and will be ready to drink from late 2016.",Portugal,Portuguese Red
"Just off dry, this is a bright and crisp wine that bounces round the palate. It is summer apéritif time with this vivid, pink grapefruit-flavored wine.",Portugal,Portuguese White
"A mineral textured wine with stone fruits and attractive fresh acidity, it has a lively citrus character that comes out of the bright citrus and green plum fruits. The wine is ready to drink.",Portugal,Portuguese White
"Big and bold, this is a massive Touriga Nacional, emphasizing the structure as much as the fruit. It has a rich black plum character that is paired with firm wood and fruit tannins and a ripe juicy aftertaste. It could do with a year's aging, so drink from early 2017.",Portugal,Touriga Nacional
"This is an attractive wine that is crisp while also having a soft background texture. It is fruity, perfumed and balanced. Drink now.",Portugal,Portuguese White
This is an aromatic wine with generous fruit and soft tannins. Its wood aging has given the wine extra richness as well as spice. The wine is ready to drink.,Portugal,Portuguese Red
"An off-dry pair with the rosé in this range, this is a soft white wine that is clean, fruity with attractive sweet pear and quince flavors. Drink now.",Portugal,Portuguese White
"Named after an Arabic battle cry and now an expression that's shouted at wine festivals, the wine is lightly wood aged, ripe although with a stalky edge. It's easy and ready to drink.",Portugal,Portuguese Red
This is a strongly perfumed wine with a curious barnyard flavor that hides the fruitiness. This spoils the tangy texture and acidity that are there in the back.,Portugal,Fernão Pires
"Lightly perfumed, this is a simple, fruity wine that is ready to drink. It is floral, with a citrus flavor and a zesty aftertaste. Drink now.",Portugal,Fernão Pires
This earthy wine has barnyard aromas and a rough edge. The redeeming feature is the juicy black-currant fruit that provides a crisp aftertaste.,Portugal,Portuguese Red
"Made from Touriga Nacional, this is a deliciously light, crisp and clean strawberry-flavored wine. It has lively acidity and a real summer feel. Screwcap.",Portugal,Rosé
"This has soft, ripe fruit, with notes of lime and orange zest fitting easily with the ripe peach and melon flavors. This is warm, rounded and ready to drink.",Portugal,Portuguese White
"This is a potentially fine wine, spoilt by high alcohol. The structure is dense and with enough acidity and solid tannins. The alcohol is the problem, derived from fruit that tastes overripe.",Portugal,Portuguese Red
"An easy focus on fruit and flavor is the key to this ripe wine that is full of creamy apple and peach flavors. It is crisp, with plenty of acidity and a delicious, fruity aftertaste. Drink now.",Portugal,Portuguese White
"The cork label of this rich, smooth wine is a reminder that Alentejo's vines are interspersed with the trees that provide much of the world's cork. The wine has a rich southern character, soft tannins and plenty of blackberry fruits. It is ready to drink.",Portugal,Portuguese Red
"This is a good example of a red Portuguese wine, showcasing soft, generous tannins and juicy red and blackberry fruits. It is ripe, full of fruit and rounded with a firm, dry aftertaste. Drink now.",Portugal,Portuguese Red
This rich wine comes from the far south of Portugal. It is structured and dense with black-plum fruit and firm tannins. Spice and grilled toast from wood aging and acidity gives this wine a good balance as well as ripeness. Drink now.,Portugal,Portuguese Red
"A firmly tannic wine with a powerful structure, this is rich and well concentrated, with a solid character that supports the generous black fruits. Juicy and with good acidity at the end, the wine will be ready to drink from 2018.",Portugal,Portuguese Red
"This wine has weight and considerable richness. Spice and an attractive perfume meld with the blackberry fruits and juicy acidity. The Castelão grape is at home in this region, which shows in the sense of terroir in this bold wine. Drink now.",Portugal,Castelão
"Part of a series that showcases major grape varieties, this wine brings out the creamy, green and apple-fruit character of the Chardonnay. It conveys hints of tropical fruits and a ripe apricot flavor. Balanced acidity lifts all this rich fruitiness. Drink from late 2017.",Portugal,Chardonnay
"Foot treading during fermentation, plus aging in French oak or large vats for four years makes this a special sort of Ruby. It is in a dry style, with a good balance between the wood and the juicy red-berry fruits. The wine is ready to drink.",Portugal,Port
All the ripe fruit potential of a Douro red is displayed in this unoaked wine. Intense blackberry flavors are laced with fruit tannins and plenty of acidity. The young wine has a mineral edge that gives the aftertaste a fine bite. Drink now.,Portugal,Portuguese Red
"Made from old vines grown in a field blend, this is a finely structured wine, fermented in open stone lagares. With its fine tannins, ripe black fruits and concentration, it is an impressive wine that is still aging. The black fruits and tannins will soften and broaden if the wine is kept. Drink from 2019.",Portugal,Portuguese Red
"Packed with ripe fruit, this wood-aged wine is dense and rich. A blend of Arinto and the Douro's local white grape, Rabigato, it is full of the ripest yellow fruits, laced through with stony minerality. The acidity and the spice from the wood give this wine its aging potential. Drink from 2019.",Portugal,Portuguese White
"Wonderfully floral, this wine is rich while also having great fruits, a fresher edge and tannins that caress. From the Croft home vineyard, it shows fullness and structure. The aftertaste is so fruity and fragrant, it's almost drinkable now. Wait, though, until 2020.",Portugal,Port
"Made from selected barrels, this reserve wine is serious, dark and dense. It's strongly influenced by the richness of the blackberry and dark plum fruit flavors that roll through the firm structure giving waves of richness. Keep this impressive wine and drink from 2018.",Portugal,Portuguese Red
"New wood aromas give this very fine wine a firm start in life. It also shows rich blackberry fruits, dark plums and a solid, tannic character. Dense and concentrated with a smooth surface hiding a much firmer core. A serious wine  needing aging.",Portugal,Portuguese Red
"This is a smooth, toffee and caramel-flavored wine. It has a comfortable maturity, with acidity coming from hints of fruitiness, and sweet sultanas acting as a foil. Like any aged tawny, this magnificent wine is ready to drink.",Portugal,Port
"Made by the winemaking team of Quinta de la Rosa, this powerful and bold wine comes from vineyards up river in Douro Superior. It is full of dark, dense black fruits and concentrated tannins with brisk acidity on the finish. Drink from 2018.",Portugal,Portuguese Red
"This is a rich and dense wine, full of dusty tannins and ripe, generous black plum and berry fruits. It's spicy and juicy, with an herbal overtone and a warm, full-bodied character. The wine could do with some aging, so drink from 2016.",Portugal,Portuguese Red
"One of the top wines from this producer, this blend of at least 10 grape varieties comes from its estate. The wood aging has added sophistication to this already concentrated wine. With black fruits to the fore and firm tannins, it will age well. Drink from 2019.",Portugal,Portuguese Red
"A rustic wine that blends Cabernet Sauvignon with local fruit. It has a layer of wood, uncomfortable black currant acidity and a core of tannins.",Portugal,Portuguese Red
"Even in inland Alentejo, the Portuguese think of the ocean and of seafaring. This smooth, fruity wine, with its soft tannins and touch of spice, is ready to drink. With a round texture, rich berry fruits and balanced acidity, it is a fine, fruity wine for now.",Portugal,Portuguese Red
"Vines grown at 1,800 feet give this wine its cool climate attitude. The granite soil gives a strong mineral character to the grapefruit and green apple flavors. With its textured almond and spice character, this is a ripe wine that is ready to drink now.",Portugal,Portuguese White
"This entry level wine from top Douro estate Quinta do Vallado is soft and full of red berry fruits that are laced with firm, solid tannins. It has weight and concentration, the ripe fruits balanced by a fresher side to the wine. With its tannins and touches of wood aging, it needs to age a few months. Drink from 2016.",Portugal,Portuguese Red
"This quinta is in the Rio Torto Valley in the heart of the Port vineyards. The wine is rich, sweet fruited, ripe with jammy blackberries and great perfumes. Open, already drinkable in a fruity way, it is likely to age over the medium term.",Portugal,Port
"As the base for a sparkling wine, Baga doesn't lose its tannic character. But it does offer great fruitiness, an apple crispness and tight acidity. A sparkling wine for food.",Portugal,Baga
"This is a grapefruit- and apple-flavored wine with a lively prickle on the palate. Bright and dry, this is sharpened by a citrus flavor and acidity. Ready to drink.",Portugal,Portuguese White
"A sweet style of white Port, almost tawny in character, with nuts, acidity and old fruit flavors. Crystallized red fruits add an extra element. Drink by itself, or as long cocktail with tonic.",Portugal,Port
"With a few months aging, the baby freshness of this wine has turned into ripe fruit with fresh apricot as well as citrus flavors. It's a bright wine, of course, full of lively acidity while having this extra layer of richness that comes from ripe Alvarinho. Drink now.",Portugal,Alvarinho
"With apricot and floral perfumes, this is a ripe wine, full in the mouth and with a subtle mix of fresh acidity and rich yellow fruits. It is still a little young and will be better from late 2016.",Portugal,Viognier
"This blend of Syrah and Cabernet Sauvignon is rich and concentrated. It is full of dark tannins as well as spicy fruit. Blackberry flavors are perfumed, ripe and shot through with dry, smoky wood tastes. It's still a firm wine that will need more time. Drink from late 2016.",Portugal,Portuguese Red
"Quinta da Lapa has plantings of the rare Tamarez grapes that have gone into the blend of this wine along with Arinto. It is perfumed, ripe and fruity with a touch of spice and citrus and yellow fruit flavors. Drink now.",Portugal,Portuguese White
"While there is little varietal character in this Pinot Noir, it is still an attractive, light and fruity wine. Red berries come through strongly sustaining acidity and some tight, mineral tannins. The wine is already well developed and ready to drink.",Portugal,Pinot Noir
"This wine combines freshness and structure. It's full of acidity and bright berry fruits. At the same time, the solid structure gives the wine balance and a fine future. Wood aging offers further support to the fruitiness of this ageworthy wine. Drink from 2017.",Portugal,Portuguese Red
"This tight, stalky, still-young wine has a firm structure of tannins over the blackberry fruits. Wood aging has softened some of the harder edges and has also given the wine a chance to mature. Drink from 2017.",Portugal,Portuguese Red
"A ripe, smooth and richly fruity wine that has a well-integrated structure. Flavors of generous blackberry and red plums are lightly touched by acidity. The wine is ready to drink.",Portugal,Portuguese Red
"A bold ripe wine that is full of dark fruits and tannins. It is warm, rounded with spice as well as fine acidity and blackberry flavors. The wine is now fully developed, ready to drink.",Portugal,Portuguese Red
"With its dark color and rich fruit, this is instantly approachable. Tannins are well integrated into the ripe plum and black cherry fruits. With fresh acidity and a core of dry tannins at the end, the wine could age. Drink from 2016.",Portugal,Touriga Nacional-Cabernet Sauvignon
"This big, bold and fruity wine highlights the juicy quality of ripe Castelão. The tannins are just there, forming the base for the ripe red fruits and warm structure. It could do with just a few more months, so drink from late 2015.",Portugal,Portuguese Red
"This big, bold wine blends local grapes with Cabernet Sauvignon and Touriga Nacional. It has red fruits and rounded tannins that are well integrated with the fruitiness. Full in the mouth and with delicious acidity, it is ready to drink.",Portugal,Portuguese Red
"Dry and stalky, this wine from the eastern Alentejo is structured and firm. It has ripe black fruit flavors along with acidity, both of them dominated by tannins from the fruit. The wine needs to age; drink from 2017.",Portugal,Portuguese Red
"Perfectly mature, this Port's tannins have softened over the past 40-plus years, leaving it lushly textured and displaying rich fig and chocolate flavors. Finishes long, picking up a touch of almond to go with the fig, flavors Symington calls “Dow's hallmarks.” Drink now–2015, longer if you prefer very mature wines.",Portugal,Port
"In the Fonseca tradition, this is a hugely rich wine, very dense. It is not all weight, with excellently integrated firm tannins and a range of complex flavors, from nuts and berry fruits to full frontal ripeness. There is some dryness to finish.",Portugal,Port
"A powerhouse of a wine that goes from densely rich to massive without a pause. The ripe fruit, the dark, heavy tannins, the black plum and fig flavors, all come from the terroir of this great vineyard.",Portugal,Port
"Mouthfilling and round, without any sharp edges, but this wine remains extremely firm and dense, with several decades of life ahead of it. Dried fig, chocolate and black licorice flavors only hint at what lies ahead.",Portugal,Port
"Floral, aromatic and light in texture, this has attractive prickle on the palate, with sweetness on the finish. A fine summer quaffer.",Portugal,Portuguese White
"A caramel aroma is followed by sweet strawberry fruit from the Touriga Nacional, lending a wine that is freshly fruity and soft.",Portugal,Rosé
"This attractive, spicy and fruity wine brings out the warmth of the Alentejo while also keeping crispness and black-currant acidity. It is smooth, rich and very ready to drink.",Portugal,Portuguese Red
"Ripe, spicy and full both of ripe fruits and tannins, this is a full-bodied wine that brings out the minerality and structure of a Douro wine. It has plenty of red fruits to balance these tannins, resolving into the wine that is firm but ready to drink.",Portugal,Portuguese Red
"The oak aging is what makes this wine. It brings out the black fruits and juicy acidity as well as adding toast and vanilla flavors. The result is a wine that is smooth, balanced, full of fruit and ready to drink.",Portugal,Portuguese Red
"The two white grapes of the coastal Bairrada region in central Portugal are blended to give a ripe, crisp and creamy wine. Fragrant Maria Gomes is known as Fernão Pires in other parts of Portugal. Its acidity fits perfectly into this smooth textured wine that is ready to drink.",Portugal,Maria Gomes-Bical
"A fruity blend of four local Alentejo grapes, this wine is soft and smoothly rich with fine acidity and a mix of yellow fruit and apple flavors. It has plenty of crisp acidity to bring out a lively aftertaste. Drink now.",Portugal,Portuguese White
This attractively fruity wine is crisp and full of red currants. Its acidity and soft caramel flavor are nicely blended with the touch of tannin and crisp aftertaste. Drink now.,Portugal,Rosé
"The wine is spicy, fruity with soft tannins and plenty of ripe red berries. Its dry core gives it shape along with a firm anchor for the generous fruitiness. Drink now.",Portugal,Portuguese Red
"Big, powerful wine that is restrained by its ripe, dusty tannins. It is concentrated, with an almost Port-like texture, a result of the open lagars in which it is fermented. The fruit is likely to be rich and opulent as the tannins move into balance.",Portugal,Portuguese Red
"From Passadouro's old vines, this is serious, complex wine. Its fruit is an integral part of the dark tannic structure, adding to the gentle power. It has spice as well as juicy fruit, wood and, on the finish, sweet fruit flavors.",Portugal,Portuguese Red
"This is an impressive concentrated wine. Now with a couple of years of aging, it has lost its baby acidity and developed a leaner more structured character. That goes with the apple and citrus fruitiness to give the wine a balanced mature character. It is ready to drink.",Portugal,Alvarinho
"This rich wine is made from old vines in a field blend. With its intense acidity and ripe apple fruitiness, the wine is full and concentrated. The spice and toastiness are at peace with the fruit, giving a balanced wine that will be ready to drink from late 2017.",Portugal,Portuguese White
"A rich wood-aged wine, this is dense and creamy. With acidity and toast, ripe apples as well as spice, the wine is made to age. Coming from the Alvarinho heartland of Melgaço on Portugal's northern border, the wine has minerality and great intensity. It will be good until at least 2020.",Portugal,Alvarinho
"This is a perfumed wine that has just pure berry fruits, red plums and spice from tannins. There's no wood aging here, but the wine succeeds because of its delicious ripe fruits and balancing sweet acidity.",Portugal,Portuguese Red
"This firm wine shows fresh, compacted fruits and vivid acidity. Its tight tannins suggest aging potential, while the black plum juice and blueberry fruit flavors make it attractive now. Layers of smoky toast show through on the finish.",Portugal,Portuguese Red
"Green plums, freshly sliced melon and some pineapple all come together in this fruit-salad-fresh wine. It is ripe, but retains plenty of crispness, a light structure of orange zest giving shape and piquancy.",Portugal,Bical
"Senhora da Convento's late release of its Ports has paid off with this impressively ripe, mature wine. It has the feel of a vintage wine with its depth of black flavors, spice, dried fruits and balance. Drink now.",Portugal,Port
"Alvarinho is best from the far north of Vinho Verde, which is the source for this wine. It gives a full, rich, very ripe wine that's rounded and packed with yellow fruits and a tight mineral and lemon juice character. The wine also has youth on its side and could age for several more years. Drink from 2014.",Portugal,Alvarinho
"A full and rich wine, almost too powerful and concentrated. It has great solid tannins, dark plum and chocolate flavors and a dense texture. It does need aging, so drink from 2016.",Portugal,Portuguese Red
"A dark colored red that is firmly tannic as well as ripe and fruity. The wine is spicy and earthy, redolent of dried fruits, like figs and red berries. With its solid texture, it can age; drink from 2015.",Portugal,Portuguese Red
"Bright and fresh, this is a delicate rosé, showing both fruitiness and some structure. Strawberry dusted with pepper lends a spicy berry character throughout. It's not for aging, so drink now.",Portugal,Rosé
"This is a shade off-dry, with ample crispness, a bright, prickly lightness and delicate texture. It's a great apéritif style, with its soft edge and easygoing freshness, that's ready to drink now.",Portugal,Portuguese White
"This is a gravel- and mineral-textured wine that has a very structured feel, with red berry flavors and firm tannins. Still young, it is a wine that should soften, so wait until 2016.",Portugal,Portuguese Red
"Still an icon of Douro reds, this is marked by elegance. The fruit blends effortlessly with the acid-laced, firm tannins. It has fine potential for aging over at least five years.",Portugal,Portuguese Red
"The aristocratic estate of Santar produces some of the most elegant wines in the Dão. The 2009 vintage adds richness to a deep, complex and powerful wine, which is full of dark plum and damson flavors, rounded by wood aging. Age for 3–4 years.",Portugal,Portuguese Red
"This is a creamy, intensely fruit wine, with lime and tropical fruit flavors, merely hinting at a minerally structure. It's delicious and ready to drink now.",Portugal,Alvarinho
"Lightly spicy aromas give this an exotic feel. At the same time, there is plenty of crisp, citrusy acidity, along with a rounded melon texture. The wine is full-bodied, concentrated and will be ready to drink in six months.",Portugal,Verdelho
"This smooth, rounded wine has touches of wood aging, along with a herbaceous character just now beginning to soften and fill out. It has a light touch of spice along with apple and tangerine notes. Ready to drink.",Portugal,Portuguese White
"Smooth, soft and powerfully rounded, this is made from concentrated grapes grown in the hot eastern Alentejo. Flavors of spice, black plum and rich damson jelly abound. The tannins and acids provide a gentle thrust at the end.",Portugal,Portuguese Red
"This full-bodied selection hails from the same region as Vinho Verde, offering creamy apricot and ripe white-fruit notes. It has great depth of flavor, with toast and spice tones as well as fragrant acidity.",Portugal,Portuguese White
